Rank,Release,Gross,Theaters,Opening,% of Total,Open,Close,Distributor
1,Toy Story 3,415004880,4028,110307189,26.60%,Jun 18,Dec 2,Walt Disney Studios Motion Pictures
2,Alice in Wonderland,334191110,3739,116101023,34.70%,Mar 5,Jul 8,Walt Disney Studios Motion Pictures
3,Iron Man 2,312433331,4390,128122480,41%,May 7,Aug 19,Paramount Pictures
4,The Twilight Saga: Eclipse,300531751,4468,64832191,21.60%,Jun 30,Oct 21,Summit Entertainment
5,Harry Potter and the Deathly Hallows: Part 1,295983305,4125,125017372,42.20%,Nov 19,Apr 7,Warner Bros.
6,Inception,292576195,3792,62785337,21.50%,Jul 16,Jan 6,Warner Bros.
7,Despicable Me,251639815,3602,56397125,22.40%,Jul 9,Jan 20,Universal Pictures
8,Shrek Forever After,238736787,4386,70838207,29.70%,May 21,Sep 9,DreamWorks
9,How to Train Your Dragon,217581231,4060,43732319,20.10%,Mar 26,Jul 22,DreamWorks
10,Tangled,200821936,3603,48767052,24.30%,Nov 24,Jun 2,Walt Disney Studios Motion Pictures
11,The Karate Kid,176591618,3740,55665805,31.50%,Jun 11,Sep 23,Sony Pictures Releasing
12,TRON: Legacy,172062763,3451,44026211,25.60%,Dec 17,Apr 14,Walt Disney Studios Motion Pictures
13,True Grit,171243005,3464,24830443,14.50%,Dec 22,Apr 28,Paramount Pictures
14,Clash of the Titans,163214888,3802,61235105,37.50%,Apr 2,Jul 22,Warner Bros.
15,Grown Ups,162001186,3534,40506562,25%,Jun 25,Oct 28,Sony Pictures Releasing
16,Little Fockers,148438600,3675,30833665,20.80%,Dec 22,Mar 17,Universal Pictures
17,Megamind,148415853,3949,46016833,31%,Nov 5,Feb 24,DreamWorks
18,The King's Speech,135453143,2584,355450,0.30%,Nov 26,Mar 31,The Weinstein Company
19,The Last Airbender,131772187,3203,40325019,30.60%,Jul 1,Sep 23,Paramount Pictures
20,Shutter Island,128012934,3356,41062440,32.10%,Feb 19,Jun 10,Paramount Pictures
21,The Other Guys,119219978,3651,35543162,29.80%,Aug 6,Nov 18,Sony Pictures Releasing
22,Salt,118311368,3612,36011243,30.40%,Jul 23,Oct 28,Sony Pictures Releasing
23,Jackass 3D,117229692,3139,50353641,43%,Oct 15,Jan 20,Paramount Pictures
24,Valentine's Day,110485654,3665,56260707,50.90%,Feb 12,May 6,Warner Bros.
25,Black Swan,106954678,2407,1443809,1.30%,Dec 3,May 5,-
26,Robin Hood,105269730,3505,36063385,34.30%,May 14,Aug 5,Universal Pictures
27,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,3555,24005069,23%,Dec 10,Apr 14,Twentieth Century Fox
28,The Expendables,103068524,3398,34825135,33.80%,Aug 13,Oct 21,Lionsgate
29,Due Date,100539043,3365,32689406,32.50%,Nov 5,Jan 27,Warner Bros.
30,Yogi Bear,100246011,3515,16411322,16.40%,Dec 17,Apr 7,Warner Bros.
31,Date Night,98711404,3380,25207599,25.50%,Apr 9,Sep 9,Twentieth Century Fox
32,The Social Network,96962694,2921,22445653,23.10%,Oct 1,Mar 3,Sony Pictures Releasing
33,Sex and the City 2,95347692,3445,31001870,32.50%,May 27,Aug 19,Warner Bros.
34,The Book of Eli,94835059,3111,32789494,34.60%,Jan 15,May 13,Warner Bros.
35,The Fighter,93617009,2534,300010,0.30%,Dec 10,Mar 31,Paramount Pictures
36,The Town,92186262,2935,23808032,25.80%,Sep 17,Jan 6,Warner Bros.
37,Prince of Persia: The Sands of Time,90759676,3646,30095259,33.20%,May 28,Sep 23,Walt Disney Studios Motion Pictures
38,RED,90380162,3349,21761408,24.10%,Oct 15,Feb 3,Summit Entertainment
39,Percy Jackson & the Olympians: The Lightning Thief,88768303,3396,31236067,35.20%,Feb 12,Jul 1,Twentieth Century Fox
40,Paranormal Activity 2,84752907,3239,40678424,48%,Oct 22,Jan 20,Paramount Pictures
41,Unstoppable,81562942,3261,22688457,27.80%,Nov 12,Mar 10,Twentieth Century Fox
42,Eat Pray Love,80574010,3108,23104523,28.70%,Aug 13,Nov 4,Sony Pictures Releasing
43,Dear John,80014842,3062,30468614,38.10%,Feb 5,Apr 29,Screen Gems
44,The A-Team,77222099,3544,25669455,33.20%,Jun 11,Sep 16,Twentieth Century Fox
45,Knight and Day,76423035,3104,20139985,26.40%,Jun 23,Oct 7,Twentieth Century Fox
46,Dinner for Schmucks,73026337,3046,23527839,32.20%,Jul 30,Oct 14,DreamWorks
47,The Tourist,67631157,2756,16472458,24.40%,Dec 10,Mar 10,Sony Pictures Releasing
48,The Bounty Hunter,67061228,3118,20686423,30.80%,Mar 19,Jul 8,Sony Pictures Releasing
49,Diary of a Wimpy Kid,64003625,3083,22126166,34.60%,Mar 19,Aug 19,Twentieth Century Fox
50,The Sorcerer's Apprentice,63150991,3504,17619622,27.90%,Jul 14,Oct 28,Walt Disney Studios Motion Pictures
51,A Nightmare on Elm Street,63075011,3332,32902299,52.20%,Apr 30,Jul 15,Warner Bros.
52,The Last Song,62950384,2794,16007426,25.40%,Mar 31,Jul 15,Walt Disney Studios Motion Pictures
53,The Wolfman,61979680,3223,31479235,50.80%,Feb 12,Apr 1,Universal Pictures
54,Get Him to the Greek,60974475,2702,17570955,28.80%,Jun 4,Aug 12,Universal Pictures
55,Resident Evil: Afterlife,60128566,3209,26650264,44.30%,Sep 10,Nov 4,Screen Gems
56,Why Did I Get Married Too?,60095852,2155,29289537,48.70%,Apr 2,Jun 10,Lionsgate
57,Tooth Fairy,60022256,3345,14010409,23.30%,Jan 22,Jun 24,Twentieth Century Fox
58,Secretariat,59713955,3108,12694770,21.30%,Oct 8,Feb 10,Walt Disney Studios Motion Pictures
59,Easy A,58401464,2974,17734040,30.40%,Sep 17,Dec 23,Screen Gems
60,Takers,57744720,2206,20512304,35.50%,Aug 27,Nov 18,Screen Gems
61,Legend of the Guardians: The Owls of Ga'Hoole,55675313,3575,16112211,28.90%,Sep 24,Jan 20,Warner Bros.
62,Life as We Know It,53374681,3150,14506464,27.20%,Oct 8,Jan 27,Warner Bros.
63,Letters to Juliet,53032453,2975,13540486,25.50%,May 14,Aug 26,Summit Entertainment
64,Hubble,52522904,151,413477,0.80%,Mar 19,-,Warner Bros.
65,Wall Street: Money Never Sleeps,52474616,3597,19011188,36.20%,Sep 24,Dec 19,Twentieth Century Fox
66,Predators,52000688,2669,24760882,47.60%,Jul 9,Oct 14,Twentieth Century Fox
67,Hot Tub Time Machine,50287556,2771,14020502,27.90%,Mar 26,Jun 10,Metro-Goldwyn-Mayer (MGM)
68,Kick-Ass,48071303,3065,19828687,41.20%,Apr 16,Jul 1,Lionsgate
69,Killers,47059963,2859,15837266,33.70%,Jun 4,Aug 19,Lionsgate
70,Saw 3D,45710178,2808,22530123,49.30%,Oct 29,Dec 2,Lionsgate
71,Cop Out,44875481,3150,18211126,40.60%,Feb 26,May 20,Warner Bros.
72,Cats & Dogs: The Revenge of Kitty Galore,43585753,3705,12279363,28.20%,Jul 30,Oct 21,Warner Bros.
73,Edge of Darkness,43313890,3066,17214384,39.70%,Jan 29,Apr 8,Warner Bros.
74,Gulliver's Travels,42779261,3089,6307691,14.70%,Dec 25,Apr 14,Twentieth Century Fox
75,Death at a Funeral,42739347,2459,16217540,37.90%,Apr 16,Jul 8,Screen Gems
76,Step Up 3D,42400223,2439,15812311,37.30%,Aug 6,Nov 4,Walt Disney Studios Motion Pictures
77,The Last Exorcism,41034350,2874,20366613,49.60%,Aug 27,Oct 7,Lionsgate
78,Legion,40168080,2476,17501625,43.60%,Jan 22,Mar 21,Screen Gems
79,Burlesque,39440655,3037,11947744,30.30%,Nov 24,Feb 10,Screen Gems
80,The Crazies,39123589,2479,16067552,41.10%,Feb 26,May 20,Overture Films
81,For Colored Girls,37729698,2127,19497324,51.70%,Nov 5,Jan 20,Lionsgate
82,The Back-up Plan,37490007,3280,12201710,32.50%,Apr 23,Jul 22,CBS Films
83,Vampires Suck,36661504,3233,12202831,33.30%,Aug 18,Nov 11,Twentieth Century Fox
84,The American,35606376,2833,13177790,37%,Sep 1,Nov 4,Focus Features
85,Green Zone,35053660,3004,14309295,40.80%,Mar 12,May 6,Universal Pictures
86,Marmaduke,33644788,3213,11599661,34.50%,Jun 4,Sep 16,Twentieth Century Fox
87,Devil,33601190,2811,12289375,36.60%,Sep 17,Nov 18,Universal Pictures
88,Hereafter,32746941,2424,220322,0.70%,Oct 15,Jan 13,Warner Bros.
89,When in Rome,32680633,2456,12350041,37.80%,Jan 29,Apr 15,Walt Disney Studios Motion Pictures
90,Love & Other Drugs,32367005,2458,9739161,30.10%,Nov 24,Feb 17,Twentieth Century Fox
91,She's Out of My League,32010860,2958,9775278,30.50%,Mar 12,May 20,Paramount Pictures
92,Scott Pilgrim vs. the World,31524275,2820,10609795,33.70%,Aug 13,Oct 7,Universal Pictures
93,Charlie St. Cloud,31162545,2725,12381585,39.70%,Jul 30,Sep 16,Universal Pictures
94,Morning Glory,31011732,2544,9203266,29.70%,Nov 10,Jan 20,Paramount Pictures
95,How Do You Know,30212620,2483,7484696,24.80%,Dec 17,Jan 27,Sony Pictures Releasing
96,Daybreakers,30101577,2523,15146692,50.30%,Jan 8,Feb 11,Lionsgate
97,Nanny McPhee Returns,29011215,2798,8407685,29%,Aug 20,Oct 28,Universal Pictures
98,The Switch,27779426,2017,8436713,30.40%,Aug 20,Nov 18,Miramax
99,Brooklyn's Finest,27163593,1939,13350299,49.10%,Mar 5,May 20,Overture Films
100,Machete,26593646,2678,11416164,42.90%,Sep 3,Nov 18,Twentieth Century Fox
101,Ramona and Beezus,26167002,2719,7810481,29.80%,Jul 23,Nov 11,Twentieth Century Fox
102,Leap Year,25918920,2512,9202815,35.50%,Jan 8,Mar 4,Universal Pictures
103,You Again,25702053,2548,8407513,32.70%,Sep 24,Dec 16,Walt Disney Studios Motion Pictures
104,Alpha and Omega,25107267,2625,9106906,36.30%,Sep 17,Dec 2,Lionsgate
105,Piranha 3D,25003155,2491,10106872,40.40%,Aug 20,Nov 18,-
106,Lottery Ticket,24719879,1974,10652297,43.10%,Aug 20,Nov 4,Warner Bros.
107,The Spy Next Door,24307086,2924,9726056,40%,Jan 15,Mar 4,Lionsgate
108,From Paris with Love,24077427,2722,8158860,33.90%,Feb 5,Mar 11,Lionsgate
109,The Losers,23591432,2936,9406348,39.90%,Apr 23,Jun 24,Warner Bros.
110,Faster,23240020,2470,8523153,36.70%,Nov 24,Feb 10,CBS Films
111,Just Wright,21540363,1831,8284989,38.50%,May 14,Aug 5,-
112,Skyline,21393620,2883,11692415,54.70%,Nov 12,Dec 21,Universal Pictures
113,The Next Three Days,21148651,2564,6542779,30.90%,Nov 19,Jan 6,Lionsgate
114,The Kids Are All Right,20811365,994,491971,2.40%,Jul 9,Oct 21,Focus Features
115,Our Family Wedding,20255281,1609,7629862,37.70%,Mar 12,Jun 17,-
116,Country Strong,20218921,1441,30452,0.20%,Dec 22,Feb 17,Screen Gems
117,Oceans,19422319,1232,6058958,31.20%,Apr 22,Jul 15,Walt Disney Studios Motion Pictures
118,Remember Me,19068240,2215,8089139,42.40%,Mar 12,May 13,Summit Entertainment
119,127 Hours,18335230,916,264851,1.40%,Nov 5,Apr 14,-
120,Going the Distance,17804299,3030,6884964,38.70%,Sep 3,Oct 21,Warner Bros.
121,Furry Vengeance,17630465,3002,6627564,37.60%,Apr 30,Jul 15,Summit Entertainment
122,Splice,17010170,2450,7385277,43.40%,Jun 4,Aug 5,Warner Bros.
123,The Ghost Writer,15541549,819,183009,1.20%,Feb 19,Jun 17,Summit Entertainment
124,Youth in Revolt,15281286,1873,6888334,45.10%,Jan 8,Mar 25,-
125,My Soul to Take,14744435,2572,6842220,46.40%,Oct 8,Nov 4,Universal Pictures
126,Repo Men,13794835,2521,6126170,44.40%,Mar 19,Apr 22,Universal Pictures
127,Case 39,13261851,2212,5350570,40.30%,Oct 1,Nov 18,Paramount Vantage
128,Let Me In,12134935,2042,5147479,42.40%,Oct 1,Dec 9,Overture Films
129,Extraordinary Measures,12068313,2549,6012594,49.80%,Jan 22,Feb 11,CBS Films
130,Avatar,10741486,812,4007750,37.30%,Aug 27,Nov 18,Twentieth Century Fox
131,Jonah Hex,10547117,2825,5379365,51%,Jun 18,Aug 12,Warner Bros.
132,The Girl with the Dragon Tattoo,10095170,202,335502,3.30%,Mar 19,Feb 24,Music Box Films
133,Blue Valentine,9706328,450,193728,2%,Dec 29,Apr 21,The Weinstein Company
134,Fair Game,9540691,436,651082,6.80%,Nov 5,Feb 17,Summit Entertainment
135,Get Low,9176933,570,88182,1%,Jul 30,Feb 24,Sony Pictures Classics
136,MacGruber,8525600,2551,4043495,47.40%,May 21,Jun 10,Universal Pictures
137,The Girl Who Played with Fire,7638241,185,904998,11.80%,Jul 9,Feb 10,Music Box Films
138,Cyrus,7468936,454,181716,2.40%,Jun 18,Oct 14,-
139,Babies,7320323,543,2160460,29.50%,May 7,Jul 8,Focus Features
140,Conviction,6783129,672,102351,1.50%,Oct 15,Dec 26,-
141,City Island,6671036,269,32001,0.50%,Mar 19,Sep 2,Anchor Bay Films
142,The Last Station,6617867,354,73723,1.10%,Jan 15,Jun 24,Sony Pictures Classics
143,Winter's Bone,6531503,141,84797,1.30%,Jun 11,Apr 21,Roadside Attractions
144,Waiting for Superman,6417135,330,139033,2.20%,Sep 24,Dec 23,Paramount Vantage
145,The Secret in Their Eyes,6391436,166,167866,2.60%,Apr 16,Oct 21,Sony Pictures Classics
146,It's Kind of a Funny Story,6363628,757,2013406,31.60%,Oct 8,Nov 25,Focus Features
147,Sea Rex 3D: Journey to a Prehistoric World,6096582,14,3048665,-,May 28,Sep 13,3D Entertainment
148,The Warrior's Way,5666340,1622,881737,53.80%,Dec 3,Feb 3,Relativity Media
149,The Girl Who Kicked the Hornet's Nest,5190196,208,121504,17%,Oct 29,Mar 3,Music Box Films
150,I Am Love,5005465,166,199657,2.40%,Jun 18,Dec 2,Magnolia Pictures
151,Mao's Last Dancer,4817770,137,94936,4.10%,Aug 20,Dec 9,The Samuel Goldwyn Company
152,Solitary Man,4360548,177,39649,2.20%,May 21,Oct 7,Anchor Bay Films
153,Inside Job,4312735,250,118152,0.90%,Oct 8,May 5,Sony Pictures Classics
154,Greenberg,4234170,186,118123,2.80%,Mar 19,May 27,Focus Features
155,Please Give,4033574,272,1944027,2.90%,Apr 30,Oct 21,Sony Pictures Classics
156,My Name Is Khan,4018771,125,1581517,48.40%,Feb 12,May 6,-
157,To Save a Life,3777210,441,805115,41.90%,Jan 22,Apr 8,The Samuel Goldwyn Company
158,The Runaways,3573673,244,170756,22.50%,Mar 19,Jun 3,Apparition
159,Exit Through the Gift Shop,3291250,46,160103,5.20%,Apr 16,Nov 4,-
160,You Will Meet a Tall Dark Stranger,3248246,402,257285,4.90%,Sep 22,Feb 10,Sony Pictures Classics
161,Catfish,3237343,143,111869,7.90%,Sep 17,Dec 2,Rogue Pictures
162,Another Year,3205706,236,900688,3.50%,Dec 29,May 26,Sony Pictures Classics
163,Chloe,3075255,350,164351,29.30%,Mar 26,Jul 15,Sony Pictures Classics
164,Joan Rivers: A Piece of Work,2930687,115,1088873,5.60%,Jun 11,Sep 16,IFC Films
165,Letters to God,2848578,897,1166406,38.20%,Apr 9,Jul 1,Vivendi Entertainment
166,N-Secure,2595644,486,111734,44.90%,Oct 15,Nov 18,Freestyle Releasing
167,Never Let Me Go,2434652,232,38594,4.60%,Sep 15,Dec 16,-
168,Twilight/New Moon,2385237,2037,53778,-,Jun 29,Jun 29,Summit Entertainment
169,The Illusionist,2231474,206,163773,1.70%,Dec 25,May 12,Sony Pictures Classics
170,Rabbit Hole,2229058,131,112520,2.40%,Dec 17,Apr 7,Lionsgate
171,A Prophet,2087720,83,173353,7.80%,Feb 26,Jul 1,Sony Pictures Classics
172,I Love You Phillip Morris,2037459,100,75766,5.50%,Dec 3,Apr 14,Roadside Attractions
173,Harry Brown,1818681,67,119086,9.50%,Apr 30,Aug 12,The Samuel Goldwyn Company
174,Stone,1810078,125,224233,4.20%,Oct 8,Dec 30,Overture Films
175,Somewhere,1785645,83,959329,6.70%,Dec 22,Mar 3,Focus Features
176,Flipped,1755212,442,44454,12.80%,Aug 6,Oct 14,Warner Bros.
177,Kites,1643486,207,66245,58.40%,May 21,Jun 24,Reliance Big Pictures
178,Coco Chanel & Igor Stravinsky,1621226,74,850244,2.70%,Jun 11,Oct 21,Sony Pictures Classics
179,Cairo Time,1603616,76,509689,4.10%,Aug 6,Nov 11,IFC Films
180,Raajneeti,1514558,124,52749,56.10%,Jun 4,Jul 11,UTV Motion Pictures
181,The Joneses,1475746,217,35581,34.50%,Apr 16,Jul 15,Roadside Attractions
182,Nowhere Boy,1457248,215,628137,3.60%,Oct 8,Dec 9,The Weinstein Company
183,Restrepo,1330894,52,42751,2.70%,Jun 25,Dec 5,National Geographic Entertainment
184,Dabangg,1288549,68,642156,48.70%,Sep 10,Sep 30,Eros Worldwide
185,Micmacs,1262079,52,626432,3.40%,May 28,Oct 21,Sony Pictures Classics
186,Housefull,1183658,82,43040,54.30%,Apr 30,May 20,Eros Worldwide
187,Golmaal 3,1132192,86,37563,55.30%,Nov 5,Nov 25,Eros Worldwide
188,Mother and Child,1110509,119,539793,3.90%,May 7,Oct 21,Sony Pictures Classics
189,Made in Dagenham,1095369,89,49046,3.40%,Nov 19,Apr 14,Sony Pictures Classics
190,Tees Maar Khan,1076443,108,100268,50.10%,Dec 22,Jan 20,UTV Motion Pictures
191,La Mission,1062941,47,61968,4.60%,Apr 9,Aug 8,Screen Media Films
192,Buried,1044143,107,34528,9.60%,Sep 24,Nov 11,Lionsgate
193,Animal Kingdom,1044039,61,511698,5.90%,Aug 13,Mar 17,Sony Pictures Classics
194,Casino Jack,1042959,60,291360,3.30%,Dec 17,Apr 7,ATO Pictures
195,The Perfect Game,1037071,417,488121,49.30%,Apr 16,May 13,-
196,The Oscar Nominated Short Films 2010: Live Action,1018169,95,,28.60%,Feb 19,Apr 29,Shorts International
197,Guzaarish,1017335,108,67848,48%,Nov 19,Dec 16,UTV Motion Pictures
198,The Salvation Poem,914818,30,186995,-,Aug 27,Sep 1,CanZion Films
199,The Wildest Dream,898137,21,67848,7.60%,Aug 6,Jul 7,National Geographic Entertainment
200,Princess Kaiulani,883887,47,186995,21.20%,May 14,Sep 30,Roadside Attractions