Gross,Distributor
415004880,Walt Disney Studios Motion Pictures
334191110,Walt Disney Studios Motion Pictures
312433331,Paramount Pictures
300531751,Summit Entertainment
295983305,Warner Bros.
292576195,Warner Bros.
251639815,Universal Pictures
238736787,DreamWorks
217581231,DreamWorks
200821936,Walt Disney Studios Motion Pictures
176591618,Sony Pictures Releasing
172062763,Walt Disney Studios Motion Pictures
171243005,Paramount Pictures
163214888,Warner Bros.
162001186,Sony Pictures Releasing
148438600,Universal Pictures
148415853,DreamWorks
135453143,The Weinstein Company
131772187,Paramount Pictures
128012934,Paramount Pictures
119219978,Sony Pictures Releasing
118311368,Sony Pictures Releasing
117229692,Paramount Pictures
110485654,Warner Bros.
106954678,Solo Film
105269730,Universal Pictures
104386950,Twentieth Century Fox
103068524,Lionsgate
100539043,Warner Bros.
100246011,Warner Bros.
98711404,Twentieth Century Fox
96962694,Sony Pictures Releasing
95347692,Warner Bros.
94835059,Warner Bros.
93617009,Paramount Pictures
92186262,Warner Bros.
90759676,Walt Disney Studios Motion Pictures
90380162,Summit Entertainment
88768303,Twentieth Century Fox
84752907,Paramount Pictures
81562942,Twentieth Century Fox
80574010,Sony Pictures Releasing
80014842,Screen Gems
77222099,Twentieth Century Fox
76423035,Twentieth Century Fox
73026337,DreamWorks
67631157,Sony Pictures Releasing
67061228,Sony Pictures Releasing
64003625,Twentieth Century Fox
63150991,Walt Disney Studios Motion Pictures
63075011,Warner Bros.
62950384,Walt Disney Studios Motion Pictures
61979680,Universal Pictures
60974475,Universal Pictures
60128566,Screen Gems
60095852,Lionsgate
60022256,Twentieth Century Fox
59713955,Walt Disney Studios Motion Pictures
58401464,Screen Gems
57744720,Screen Gems
55675313,Warner Bros.
53374681,Warner Bros.
53032453,Summit Entertainment
52522904,Warner Bros.
52474616,Twentieth Century Fox
52000688,Twentieth Century Fox
50287556,MetroSolo FilmGoldwynSolo FilmMayer (MGM)
48071303,Lionsgate
47059963,Lionsgate
45710178,Lionsgate
44875481,Warner Bros.
43585753,Warner Bros.
43313890,Warner Bros.
42779261,Twentieth Century Fox
42739347,Screen Gems
42400223,Walt Disney Studios Motion Pictures
41034350,Lionsgate
40168080,Screen Gems
39440655,Screen Gems
39123589,Overture Films
37729698,Lionsgate
37490007,CBS Films
36661504,Twentieth Century Fox
35606376,Focus Features
35053660,Universal Pictures
33644788,Twentieth Century Fox
33601190,Universal Pictures
32746941,Warner Bros.
32680633,Walt Disney Studios Motion Pictures
32367005,Twentieth Century Fox
32010860,Paramount Pictures
31524275,Universal Pictures
31162545,Universal Pictures
31011732,Paramount Pictures
30212620,Sony Pictures Releasing
30101577,Lionsgate
29011215,Universal Pictures
27779426,Miramax
27163593,Overture Films
26593646,Twentieth Century Fox
26167002,Twentieth Century Fox
25918920,Universal Pictures
25702053,Walt Disney Studios Motion Pictures
25107267,Lionsgate
25003155,Solo Film
24719879,Warner Bros.
24307086,Lionsgate
24077427,Lionsgate
23591432,Warner Bros.
23240020,CBS Films
21540363,Solo Film
21393620,Universal Pictures
21148651,Lionsgate
20811365,Focus Features
20255281,Solo Film
20218921,Screen Gems
19422319,Walt Disney Studios Motion Pictures
19068240,Summit Entertainment
18335230,Solo Film
17804299,Warner Bros.
17630465,Summit Entertainment
17010170,Warner Bros.
15541549,Summit Entertainment
15281286,Solo Film
14744435,Universal Pictures
13794835,Universal Pictures
13261851,Paramount Vantage
12134935,Overture Films
12068313,CBS Films
10741486,Twentieth Century Fox
10547117,Warner Bros.
10095170,Music Box Films
9706328,The Weinstein Company
9540691,Summit Entertainment
9176933,Sony Pictures Classics
8525600,Universal Pictures
7638241,Music Box Films
7468936,Solo Film
7320323,Focus Features
6783129,Solo Film
6671036,Anchor Bay Films
6617867,Sony Pictures Classics
6531503,Roadside Attractions
6417135,Paramount Vantage
6391436,Sony Pictures Classics
6363628,Focus Features
6096582,3D Entertainment
5666340,Relativity Media
5190196,Music Box Films
5005465,Magnolia Pictures
4817770,The Samuel Goldwyn Company
4360548,Anchor Bay Films
4312735,Sony Pictures Classics
4234170,Focus Features
4033574,Sony Pictures Classics
4018771,Solo Film
3777210,The Samuel Goldwyn Company
3573673,Apparition
3291250,Solo Film
3248246,Sony Pictures Classics
3237343,Rogue Pictures
3205706,Sony Pictures Classics
3075255,Sony Pictures Classics
2930687,IFC Films
2848578,Vivendi Entertainment
2595644,Freestyle Releasing
2434652,Solo Film
2385237,Summit Entertainment
2231474,Sony Pictures Classics
2229058,Lionsgate
2087720,Sony Pictures Classics
2037459,Roadside Attractions
1818681,The Samuel Goldwyn Company
1810078,Overture Films
1785645,Focus Features
1755212,Warner Bros.
1643486,Reliance Big Pictures
1621226,Sony Pictures Classics
1603616,IFC Films
1514558,UTV Motion Pictures
1475746,Roadside Attractions
1457248,The Weinstein Company
1330894,National Geographic Entertainment
1288549,Eros Worldwide
1262079,Sony Pictures Classics
1183658,Eros Worldwide
1132192,Eros Worldwide
1110509,Sony Pictures Classics
1095369,Sony Pictures Classics
1076443,UTV Motion Pictures
1062941,Screen Media Films
1044143,Lionsgate
1044039,Sony Pictures Classics
1042959,ATO Pictures
1037071,Solo Film
1018169,Shorts International
1017335,UTV Motion Pictures
914818,CanZion Films
898137,National Geographic Entertainment
883887,Roadside Attractions