Open,High,Low,Close,Adj Close
145.05,147.23,143.72,147.22,147.22
144.66,147.79,143.67,147.07,147.07
139.16,141.83,137.09,140.83,140.83
136.69,138.5,135.46,137.71,137.71
138.64,138.75,133.49,133.57,133.57
133.65,136.45,131.29,136.24,136.24
136.05,136.38,130.05,131.76,131.76
129.99,133.49,129.51,133.23,133.23
137.45,139.92,134.22,135.91,135.91
142.58,143.95,137.56,140.11,140.11
153.03,153.13,140.01,140.14,140.14
148.59,152.16,147.82,149.43,149.43
140.01,144.9,139.73,144.47,144.47
136,138.88,134.63,138.31,138.31
138.03,138.07,133.83,134.29,134.29
134.83,140.27,134.02,137.49,137.49
138.55,139.02,134.71,137.01,137.01
139.7,140.85,137.73,139.93,139.93
140,141.9,138.65,140.22,140.22
136.28,139.79,135.12,139.67,139.67
129.81,135.28,128.22,134.7,134.7
131.76,134.03,129.55,130.68,130.68
133.86,136.7,128.28,128.91,128.91
129.09,131.59,126.86,130.39,130.39
134.18,134.4,130.42,132,132
138.94,139.6,132.54,134.25,134.25
137.08,138.44,135.8,137.34,137.34
137.36,140.17,135.21,139.31,139.31
139.01,141.82,133.79,135.07,135.07
138.97,139.95,137.13,138.81,138.81
144.6,145.7,141.31,142.44,142.44
145.11,146.54,143.95,145.06,145.06
142,145.79,140.29,145.14,145.13
138.26,140.54,137.95,140.26,140.25
138.83,140.45,137.82,138.63,138.62
136.78,139.35,136.05,138.25,138.24
135.01,137.22,131.8,135.34,135.33
137.7,139.3,135.67,136.92,136.91
141.99,142.05,135.82,136.02,136.01
145.93,147.16,141.1,141.95,141.94
149.35,152.89,140.7,146.67,146.66
147.41,147.56,142.73,145.89,145.88
141.32,147.13,140.99,147.01,147
139.5,141.55,137.15,140.15,140.14
144.87,145.24,140.08,141.98,141.97
147.64,149,145.55,146.76,146.75
149.07,149.33,145.9,146.27,146.26
146.78,149.65,146.01,148.29,148.28
148.68,148.85,143.57,145.26,145.25
148.77,149.77,146.26,147.63,147.62
146.39,148.93,146.17,148.88,148.87
142.96,146.49,141.96,145.61,145.6
137.45,140.37,137.33,139.91,139.9
137.21,138.96,135.57,136.05,136.04
134.7,137.31,134.57,135.4,135.39
137.6,137.61,132.11,132.76,132.75
139.54,140.33,136.81,139.34,139.33
140.29,142.26,138.9,141.25,141.24
143,143.14,140.05,140.52,140.51
140.93,144.13,140.8,141.54,141.53
140.82,141.35,138.46,140.41,140.4
142.03,142.43,137.46,139.56,139.55
142.91,144.42,141.78,143.59,143.58
138.13,143.71,138,143.71,143.7
138.67,138.9,137.28,138,137.99
139.34,140.89,136.87,136.93,136.92
133.98,136.62,131.58,135.72,135.71
137.87,138.57,128.74,131.6,131.59
136.47,139.6,136.3,138.07,138.06
134.01,135.78,133.66,134.8,134.79
131.91,135,131,134.81,134.8
134.11,134.52,131.38,132.65,132.64
130.26,133.48,129.42,132.89,132.88
124.99,130.64,124.95,127.72,127.71
124.94,125.04,121.83,124.92,124.91
120.92,124.36,120.34,122.85,122.84
116.44,119.38,115.14,118.85,118.84
121.77,122.44,115.79,117,116.99
118.31,121.5,118.15,121.44,121.43
123.97,124.03,119.26,121.4,121.39
126.8,127.67,121.8,124.04,124.03
122.02,124.94,121.61,123.51,123.5
116.52,121.8,115.38,120.87,120.86
116.55,116.99,114.86,116.26,116.25
117.06,118.62,115.39,116,115.99
117.35,119.66,117.25,117.87,117.86
115.89,117.7,113.22,113.37,113.36
118.17,118.8,114.83,115.59,115.58
116.79,118.18,114.36,116.78,116.77
119.08,119.96,117.6,119.1,119.09
116.84,120.79,115.38,119.14,119.13
109.39,117.19,107.42,116.91,116.89
107.81,109.4,104.95,108.1,108.08
104.88,106.55,103.69,106.47,106.45
108.04,108.15,100.95,102.83,102.81
104.99,109.65,104.76,107.21,107.19
105.41,113.27,104.12,106.21,106.19
116.01,116.21,107.29,108,107.98
119.53,121.75,117.22,119.37,119.35
121.36,124.43,116.71,117.59,117.57
128.12,128.33,122.64,125.61,125.59
125.05,129.2,123.88,128.3,128.28
129.57,131.26,124.37,126.46,126.44
125.86,129.6,125.22,129.37,129.35
130.02,130.75,123.1,123.74,123.72
127.32,129.35,126.66,128.5,128.48
128.4,129.88,125.89,127.25,127.23
124.28,130,123.42,130,129.98
121.94,125,121.18,124.58,124.56
118.76,123.24,117.47,122.86,122.84
118.53,118.6,114.07,118.08,118.06
112.44,116.23,111.58,116.14,116.12
106.32,111.07,106.26,109.02,109
105.64,106.6,103.43,104.75,104.73
102,105.5,97.52,104.97,104.95
107.81,108.8,98.69,98.91,98.89
103.84,107.71,100.55,104.25,104.23
92.06,103.41,90.69,100.45,100.43
103.76,108.72,101.37,107.27,107.25
117.53,120.16,106.81,109.21,109.19
112.9,118.34,110.88,117.02,117
111.52,111.99,102.54,103.73,103.71
113.69,116.28,111.3,111.59,111.57
116.19,116.2,111.58,113.06,113.04
113.04,116.63,106.3,112.28,112.26
119.17,119.95,113.44,114.25,114.23
122.78,124.69,122.1,122.59,122.57
120.35,124.07,119.86,123.54,123.52
120.35,121.6,117.37,117.93,117.91
121.85,122.4,116.56,121.09,121.07
121.35,121.85,116.72,117.99,117.97
128.44,129.04,124.58,126.36,126.34
130.56,131.39,127.18,128.44,128.42
128.26,131.92,127.22,129.24,129.22
135.75,136.15,127.05,127.4,127.38
134.03,135.1,132.42,134.91,134.89
130.35,133.82,128.65,131.38,131.36
127.49,130.77,127.04,128.2,128.18
127.38,128.85,125.68,125.83,125.81
121.66,128.28,121.36,128.28,128.26
121.13,123.41,121.03,122.67,122.65
123.47,124.84,118.83,124.3,124.28
124.58,127.71,122.75,123.54,123.52
124.1,126.41,122.92,123.99,123.97
126.13,128.12,122.6,126.4,126.38
121.2,126.5,119.32,126.09,126.07
123.24,124.46,118.04,118.11,118.09
127.12,130.63,124.3,126.57,126.55
139.8,140.76,129.52,130.78,130.76
131.14,136.33,130.69,135.58,135.56
132.99,133.73,129.58,130.98,130.96
129.96,132.84,128.32,131.88,131.86
129.39,129.8,127.16,129.61,129.59
123.06,126.88,122.57,125.2,125.18
121.77,122.87,118.74,120.91,120.89